label,Name,ES829402,ES829403,ES829404,ES829405,ES829406,ES829407,ES829408,ES829409,ES829410,ES829411,ES829412,ES829413,ES829414,ES829415,ES829416,ES829417,ES829418,ES829419,ES829420,ES829421,ES829422,ES829423,ES829424,ES829425,ES829426,ES829427,ES829428,ES829429,ES829430,ES829431,ES829432,ES829433,ES829434,ES829435,ES829436,ES829437,ES829438,ES829439,ES829440,ES829441,ES829442,ES829443,ES829444,ES829445,ES829446,ES829447,ES829448,ES829449,ES829450,ES829451,ES829452,ES829453,ES829454,ES829455,ES829456,ES829457,ES829458,ES829459,ES829460,ES829461,ES829462,ES829463,ES829464,ES829465,ES829466,ES829467,ES829468,ES829471,ES829472,ES829473,ES829474
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|HLADR-,HLADR- NK cells,0.114517094,0.031166667,0.04481761,0.021109375,0.046576165,0.032801587,0.045641148,0.027400966,0.057520619,0.068647668,0.117282258,0.073108911,0.035526882,0.050159375,0.01810303,0.042159292,0.080041026,0.02433913,0.030752294,0.020181159,0.054715152,0.149940639,0.082711268,0.077309353,0.032138462,0.08775,0.110521472,0.071824074,0.100026667,0.038584746,0.045163462,0.024769231,0.085307692,0.022512195,0.056388601,0.080086022,0.020085185,0.065089005,0.169331395,0.031814208,0.04856,0.033436293,0.080238579,0.117566667,0.073948276,0.032605505,0.06908209,0.093720755,0.051638767,0.031198276,0.057121622,0.019370242,0.0345,0.049343373,0.046236486,0.065117647,0.020279661,0.052338028,0.020352,0.041516746,0.029791489,0.060911917,0.063219608,0.032488235,0.043743017,0.04492766,0.041003413,0.026724409,0.030195122,0.029410853,0.019982386
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|HLADR+,HLADR+ NK cells,0.001512821,0.001258333,0.005836478,0.000791667,0.000113903,0.000436508,0.001177033,0.000328502,0.000293814,0.000471503,0.000467742,0.00080198,0.000123656,0.000928125,0.000224242,0.000283186,0.000810256,7.39E-05,0.002724771,0.000543478,0.000557576,0.001461187,0.00221831,0.000514388,0.000994872,0.00080102,0.000705521,0.001259259,0.001113333,0.000508475,0.000524038,0.001434066,0.000426573,0.000360976,0.000637306,0.00161828,5.00E-04,0.000879581,0.001575581,0.000617486,0.001634286,0.000416988,0.003441624,0.000971429,0.000767241,0.00059633,0.001925373,0.000841509,0.000211454,0.000181034,0.001761261,0.000155709,0.00030198,0.000168675,0.001790541,0.000655462,0.000135593,0.000443662,0.000688,0.000392344,0.000570213,0.001766839,0.000239216,0.000294118,0.000178771,0.000395745,0.000399317,0.000149606,0.000219512,0.000372093,0.000212579
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+,B cells,0.039961538,0.061041667,0.055641509,0.080442708,0.044391289,0.02481746,0.044885167,0.045183575,0.031582474,0.050813472,0.015741935,0.021519802,0.014177419,0.033540625,0.033927273,0.056557522,0.058758974,0.044847826,0.019183486,0.023347826,0.040787879,0.049917808,0.086028169,0.038920863,0.033430769,0.019153061,0.043822086,0.03899537,0.043453333,0.029127119,0.058254808,0.034406593,0.007,0.023580488,0.055611399,0.064150538,0.047166667,0.033743455,0.028773256,0.033273224,0.022034286,0.055019305,0.053340102,0.074928571,0.051900862,0.016302752,0.027156716,0.031935849,0.033823789,0.03587931,0.030905405,0.033031142,0.025163366,0.051692771,0.066006757,0.034642857,0.036813559,0.05615493,0.065768,0.043755981,0.044395745,0.040735751,0.067278431,0.074270588,0.031106145,0.091348936,0.055430034,0.038330709,0.033723577,0.032682171,0.030783403
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24-|CD38+,naive B cells,0.036717949,0.0594,0.052716981,0.07771875,0.042548124,0.02284127,0.043430622,0.044072464,0.029902062,0.047481865,0.013879032,0.020094059,0.013564516,0.0326,0.030939394,0.052119469,0.0566,0.04133913,0.017376147,0.020681159,0.036066667,0.046913242,0.081926056,0.028600719,0.029379487,0.012270408,0.039993865,0.030935185,0.038193333,0.016508475,0.053331731,0.030846154,0.005748252,0.017443902,0.044854922,0.052994624,0.037225926,0.031984293,0.025127907,0.029896175,0.019982857,0.050100386,0.047527919,0.067680952,0.043905172,0.01112844,0.024395522,0.030381132,0.027726872,0.032439655,0.024157658,0.028103806,0.022712871,0.050054217,0.059871622,0.021483193,0.031033898,0.052309859,0.055256,0.036779904,0.040412766,0.032953368,0.058192157,0.067211765,0.026932961,0.087629787,0.044788396,0.034244094,0.030406504,0.031170543,0.02790853
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38-,memory B cells,0.003299145,0.001216667,0.001798742,0.001072917,0.001035486,0.001714286,0.000971292,0.000642512,0.001134021,0.001466321,0.001693548,0.001386139,0.00038172,0.00065,0.002309091,0.003690265,0.001651282,0.003321739,0.001146789,0.002115942,0.003848485,0.002543379,0.002757042,0.009802158,0.003553846,0.006811224,0.002957055,0.007587963,0.00474,0.012440678,0.003855769,0.00256044,0.00120979,0.006092683,0.010020725,0.009053763,0.009640741,0.00113089,0.003273256,0.002918033,0.001548571,0.004030888,0.004263959,0.005328571,0.007508621,0.004940367,0.001731343,0.00129434,0.005568282,0.002913793,0.00609009,0.00417301,0.002232673,0.001210843,0.005256757,0.013046218,0.005381356,0.002669014,0.008864,0.006114833,0.003493617,0.007134715,0.008082353,0.005823529,0.003804469,0.002774468,0.010358362,0.002527559,0.002203252,0.000713178,0.001690506
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38+,transitional B cells,4.27E-06,0.000216667,0.001113208,0.00159375,0.000662711,0.00015873,0.000430622,0.00036715,0.000386598,0.001310881,0.000137097,4.95E-06,0.000134409,3.00E-04,0.000509091,0.00060177,0.000492308,6.52E-05,0.000633028,0.000550725,0.000830303,0.000465753,0.001330986,5.00E-04,0.000487179,5.10E-05,0.000809816,0.000435185,0.000453333,0.000186441,0.001019231,0.000983516,4.20E-05,2.44E-05,0.000766839,0.002026882,0.000174074,0.00065445,0.000372093,0.000469945,0.000502857,0.000872587,0.001558376,0.00182381,0.000456897,0.000211009,0.001,0.00029434,0.000400881,0.000530172,0.000635135,0.000723183,0.000217822,0.000445783,0.000864865,0.000117647,0.000364407,0.001084507,0.001616,0.000794258,0.000510638,0.000663212,0.001019608,0.001147059,0.000407821,0.000978723,0.000208191,0.001551181,0.001121951,0.000728682,0.001194489
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD-|CD27-,IgD-CD27- B cells,0.01482906,0.000758333,0.001188679,0.003588542,0.001988133,0.001714286,0.001808612,0.00236715,0.001773196,0.003906736,0.001072581,0.001876238,0.001575269,0.002078125,0.004557576,0.004853982,0.00305641,0.006573913,0.001110092,0.000804348,0.001818182,0.00069863,0.001612676,0.001899281,0.002461538,0.001336735,0.001251534,0.003365741,0.002353333,0.002237288,0.002855769,0.002593407,0.000517483,0.003965854,0.001860104,0.002193548,0.00172963,0.000968586,0.000866279,0.000896175,0.000954286,0.002328185,0.005436548,0.00347619,0.006801724,0.001188073,0.000977612,0.000871698,0.001444934,0.000965517,0.001774775,0.001276817,0.002742574,0.001795181,0.004317568,0.002079832,0.001788136,0.003528169,0.003008,0.002205742,0.001957447,0.002683938,0.006403922,0.004858824,0.002145251,0.003055319,0.003784983,0.000811024,0.001544715,0.001085271,0.000708595
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD-|CD27+,IgD-CD27+ B cells,0.017260684,0.002825,0.002100629,0.003213542,0.003551717,0.003936508,0.004263158,0.003777778,0.004051546,0.003673575,0.003241935,0.005846535,0.002795699,0.00418125,0.007424242,0.011278761,0.004307692,0.011078261,0.001963303,0.001376812,0.003915152,0.001721461,0.001933099,0.004920863,0.004589744,0.002530612,0.002631902,0.006699074,0.004873333,0.008025424,0.004653846,0.003076923,0.003468531,0.007097561,0.004777202,0.007129032,0.010707407,0.002314136,0.004081395,0.001896175,0.002114286,0.005837838,0.004964467,0.004471429,0.012762931,0.005165138,0.002216418,0.001615094,0.005779736,0.001599138,0.004279279,0.003238754,0.002559406,0.002048193,0.006763514,0.007504202,0.002644068,0.003457746,0.006816,0.002856459,0.003982979,0.005170984,0.011,0.007741176,0.002927374,0.003846809,0.007887372,0.001425197,0.001585366,0.001434109,0.00130584
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD+|CD27-,IgD+CD27- B cells,0.003512821,0.054516667,0.049490566,0.069927083,0.037215371,0.015896825,0.036119617,0.03621256,0.023876289,0.04046114,0.007209677,0.009371287,0.008677419,0.0248,0.018369697,0.033429204,0.048435897,0.0223,0.014073394,0.018514493,0.031054545,0.043164384,0.076651408,0.022866906,0.023169231,0.010392857,0.037742331,0.024634259,0.032613333,0.009449153,0.046706731,0.026736264,0.00227972,0.008702439,0.038233161,0.045849462,0.0205,0.02852356,0.021052326,0.026087432,0.017222857,0.04230888,0.039243655,0.063147619,0.026564655,0.007059633,0.022059701,0.025671698,0.021030837,0.030073276,0.019391892,0.022377163,0.018450495,0.045927711,0.047939189,0.011827731,0.026635593,0.046295775,0.049008,0.032870813,0.033310638,0.025647668,0.045184314,0.056717647,0.023251397,0.079851064,0.038440273,0.032314961,0.028569106,0.027294574,0.025023535
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD+|CD27+,IgD+CD27+ B cells,0.004358974,0.002941667,0.002861635,0.003713542,0.001636068,0.003269841,0.00269378,0.002826087,0.001881443,0.002772021,0.004217742,0.004425743,0.001129032,0.00248125,0.003575758,0.006995575,0.002958974,0.004895652,0.002036697,0.002652174,0.004,0.004333333,0.005830986,0.009233813,0.003210256,0.004892857,0.002196319,0.004296296,0.003613333,0.009415254,0.004038462,0.002,0.000734266,0.003814634,0.010740933,0.008978495,0.01422963,0.001937173,0.002773256,0.004393443,0.001742857,0.004544402,0.003695431,0.003833333,0.005771552,0.002889908,0.001902985,0.003777358,0.005568282,0.003241379,0.005459459,0.006138408,0.001410891,0.001921687,0.006986486,0.013231092,0.005745763,0.002873239,0.006936,0.005822967,0.005144681,0.007233161,0.004690196,0.004952941,0.002782123,0.004595745,0.005317406,0.003779528,0.00202439,0.002868217,0.003745432
