label,Name
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CCR7-|CD45RA-,effector memory CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CCR7-|CD45RA+,effector CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CCR7+|CD45RA-,central memory CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CCR7+|CD45RA+,naive CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD161-,CD161-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD161+,CD161+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD27-,CD27-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD27+,CD27+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD28-,CD28-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD28+,CD28+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD85j-,CD85j-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD85j+,CD85j+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD94-,CD94-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|CD94+,CD94+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|HLADR-|CD38-,HLADR-CD38-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|HLADR-|CD38+,HLADR-CD38+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|HLADR+|CD38-,HLADR+CD38-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD8+|HLADR+|CD38+,HLADR+CD38+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD56+|CD161-,CD161- NKT cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD56+|CD161+,CD161+ NKT cells
DNA1+|DNA2+|CD14-|CD33-|TCRgd+,gamma-delta T cells
DNA1+|DNA2+|CD14+|CD33+,monocytes
DNA1+|DNA2+|CD14+|CD33+|CD14-|CD16+,CD16+CD14- monocytes
DNA1+|DNA2+|CD14+|CD33+|CD14+|CD16+,CD16+CD14+ monocytes
DNA1+|DNA2+|CD14+|CD33+|CD16-,CD16- monocytes
DNA1+|DNA2+|CD14+|CD33+|CD16+,CD16+ monocytes
